ID,NAME,2015,2016,2017,2018,2019,2020,2021,AFFGEOID
1,Alabama,8.8,7.6,9.7,10,9.5,9.6,8.3,0400000US01
2,Alaska,8,5.7,5.7,8,6.7,6.2,7.7,0400000US02
3,Arizona,7.7,8.4,7.4,7.6,7.7,7.3,8.8,0400000US04
4,Arkansas,8.3,9.9,9.1,8.9,10.4,8.8,9.6,0400000US05
5,California,7.6,7.5,7.6,8.1,8.6,9.1,10.1,0400000US06
6,Colorado,5.3,7,7.4,6.9,7,6.2,7.2,0400000US08
7,Connecticut,6.6,5.6,6.5,6.4,7.1,6.4,7.3,0400000US09
8,Delaware,8.6,7.2,7.6,6.8,7.9,6.6,7.4,0400000US10
9,District_of_Columbia,7.6,6.7,6.3,7.7,8.6,10.4,6.7,0400000US11
10,Florida,8.5,7.4,7.8,6.8,9.7,8.6,8.6,0400000US12
11,Georgia,8.2,7.9,7.6,9.5,9.1,8.6,8.2,0400000US13
12,Hawaii,5.6,5.7,6.4,6.3,6.9,7.6,7.1,0400000US15
13,Idaho,6.5,7.1,7,6.9,8,8.3,7.1,0400000US16
14,Illinois,8,7.4,6.5,7.9,6.5,6.4,7.3,0400000US17
15,Indiana,7.6,6.7,6.7,7.5,8.1,8.6,7.2,0400000US18
16,Iowa,4.6,5.1,5.3,4.6,5.8,6.6,7,0400000US19
17,Kansas,5.4,5.6,6.5,7.3,6.8,7,6.8,0400000US20
18,Kentucky,8.1,8.4,9.9,11.4,8.1,10.4,12.2,0400000US21
19,Louisiana,10.4,9.9,9.9,8.9,10.2,9.5,10.2,0400000US22
20,Maine,5.6,7,6.1,7,7.1,8,7.7,0400000US23
21,Maryland,7,6.8,7.4,7.1,7.8,8,7.7,0400000US24
22,Massachusetts,7.1,8.4,7.9,8,7.8,6.6,7.9,0400000US25
23,Michigan,6.6,7.1,8.7,7.1,9.1,10.7,7.9,0400000US26
24,Minnesota,4.9,5.1,4.9,5.1,5.4,6.1,5.9,0400000US27
25,Mississippi,8.2,8.4,9.1,9.7,10,8.6,7.6,0400000US28
26,Missouri,7.1,6.8,7.9,6.8,7.2,8.4,8.6,0400000US29
27,Montana,6.8,7.2,8.2,7,9.5,7,7.9,0400000US30
28,Nebraska,5.3,6.5,6.2,5.5,6.2,6.2,6.2,0400000US31
29,Nevada,5.5,7.3,8.8,8,9.2,10.6,11.7,0400000US32
30,New_Hampshire,6,6.5,6.2,5.7,5.3,6.7,7.1,0400000US33
31,New_Jersey,7,8.3,8.6,11.7,10,8,9.4,0400000US34
32,New_Mexico,7.6,9.9,9.1,9.3,10,8.2,9.3,0400000US35
33,New_York,9.5,7.2,8,7.4,6.8,9.2,8.4,0400000US36
34,North_Carolina,8.9,6.9,11.9,6.8,9,8,7.7,0400000US37
35,North_Dakota,5.1,4.2,4.9,5.1,5,4.7,5.7,0400000US38
36,Ohio,6.9,6.2,6.9,7.7,8.7,8.7,9,0400000US39
37,Oklahoma,8.7,7.1,9.2,8.9,9.1,9.7,9.6,0400000US40
38,Oregon,8.4,7.1,8.2,8.8,7.3,8.9,7.6,0400000US41
39,Pennsylvania,6.6,6,8.1,8.3,6.7,7.9,8.5,0400000US42
40,Rhode_Island,7.3,7.2,7.3,8,9.3,7.4,8.4,0400000US44
41,South_Carolina,7.5,8.9,8.8,8.2,7.7,7.2,9.8,0400000US45
42,South_Dakota,4.7,4.7,6.1,5.6,4.5,5.2,7.2,0400000US46
43,Tennessee,8.4,8.3,8.2,10.3,10.3,8.1,12,0400000US47
44,Texas,6.1,8.2,8.3,8.8,8.4,6.5,8.6,0400000US48
45,Utah,7.2,6.7,6.2,7,7.8,7.5,8.6,0400000US49
46,Vermont,5.4,7.1,6.5,6.5,7.1,6.4,7.3,0400000US50
47,Virginia,5.7,6,6.4,7.3,7.4,6.7,7.1,0400000US51
48,Washington,6.6,7,7.6,6.2,8.4,8.4,8.3,0400000US53
49,West_Virginia,9,9.7,9.7,11.3,10.9,10.3,12.6,0400000US54
50,Wisconsin,6.1,7.6,6.4,6.5,6.2,5.8,6,0400000US55
51,Wyoming,7.1,6.2,6,6.1,6.7,6.6,7.7,0400000US56
